iso;model;;
ABW;RCAM MAP;;
AFG;RSAS MAP;;
AGO;RSAF MAP;;
ALB;RCEU MAP;;
ARE;RGLF MAP;;
ARG;ARG MAP;;
ARM;RCIS MAP;;
ATG;RCAM MAP;;
AUS;AUS MAP;;
AUT;EU MAP;;
AZE;RCIS MAP;;
BDI;RSAF MAP;;
BEL;EU MAP;;
BEN;RSAF MAP;;
BFA;RSAF MAP;;
BGD;RSAS MAP;;
BGR;EU MAP;;
BHR;RGLF MAP;;
BHS;RCAM MAP;;
BIH;RCEU MAP;;
BLR;RCIS MAP;;
BLZ;RCAM MAP;;
BMU;RCAM MAP;;
BOL;RSAM MAP;;
BRA;BRA MAP;;
BRB;RCAM MAP;;
BRN;RSEA MAP;;
BTN;RSAS MAP;;
BWA;RSAF MAP;;
CAF;RSAF MAP;;
CAN;CAN MAP;;
CHE;CHE MAP;;
CHL;CHL MAP;;
CHN;CHN MAP;;
CIV;RSAF MAP;;
CMR;RSAF MAP;;
COD;RSAF MAP;;
COG;RSAF MAP;;
COL;RSAM MAP;;
COM;RSAF MAP;;
CPV;RSAF MAP;;
CRI;RCAM MAP;;
CUB;RCAM MAP;;
CUW;#N/A;;
CYM;GBR MAP;;
CYP;EU MAP;;
CZE;EU MAP;;
DEU;EU MAP;;
DJI;RSAF MAP;;
DMA;RCAM MAP;;
DNK;EU MAP;;
DOM;RCAM MAP;;
DZA;NOAP MAP;;
ECU;RSAM MAP;;
EGY;EGY MAP;;
ERI;RSAF MAP;;
ESP;EU MAP;;
EST;EU MAP;;
ETH;RSAF MAP;;
FIN;EU MAP;;
FJI;RPAC MAP;;
FRA;EU MAP;;
FSM;RPAC MAP;;
GAB;RSAF MAP;;
GBR;GBR MAP;;
GEO;RCIS MAP;;
GHA;RSAF MAP;;
GIN;RSAF MAP;;
GMB;RSAF MAP;;
GNB;RSAF MAP;;
GNQ;RSAF MAP;;
GRC;EU MAP;;
GRD;RCAM MAP;;
GTM;RCAM MAP;;
GUY;RSAM MAP;;
HKG;CHN MAP;;
HND;RCAM MAP;;
HRV;EU MAP;;
HTI;RCAM MAP;;
HUN;EU MAP;;
IDN;IDN MAP;;
IND;IND MAP;;
IRL;EU MAP;;
IRN;IRN MAP;;
IRQ;RGLF MAP;;
ISL;REUR MAP;;
ISR;MEME MAP;;
ITA;EU MAP;;
JAM;RCAM MAP;;
JOR;MEME MAP;;
JPN;JPN MAP;;
KAZ;RCIS MAP;;
KEN;RSAF MAP;;
KGZ;RCIS MAP;;
KHM;RSEA MAP;;
KIR;RPAC MAP;;
KNA;RCAM MAP;;
KOR;KOR MAP;;
KWT;RGLF MAP;;
LAO;RSEA MAP;;
LBN;MEME MAP;;
LBR;RSAF MAP;;
LBY;NOAP MAP;;
LCA;RCAM MAP;;
LKA;RSAS MAP;;
LSO;RSAF MAP;;
LTU;EU MAP;;
LUX;EU MAP;;
LVA;EU MAP;;
MAC;CHN MAP;;
MAR;NOAN MAP;;
MDA;RCEU MAP;;
MDG;RSAF MAP;;
MDV;RSAS MAP;;
MEX;MEX MAP;;
MHL;USA MAP;;
MKD;RCEU MAP;;
MLI;RSAF MAP;;
MLT;EU MAP;;
MMR;RSEA MAP;;
MNE;RCEU MAP;;
MNG;RSEA MAP;;
MOZ;RSAF MAP;;
MRT;RSAF MAP;;
MUS;RSAF MAP;;
MWI;RSAF MAP;;
MYS;MYS MAP;;
NAM;RSAF MAP;;
NCL;EU MAP;;
NER;RSAF MAP;;
NGA;RSAF MAP;;
NIC;RCAM MAP;;
NLD;EU MAP;;
NOR;REUR MAP;;
NPL;RSAS MAP;;
NRU;RPAC MAP;;
NZL;NZL MAP;;
OMN;RGLF MAP;;
PAK;RSAS MAP;;
PAN;RCAM MAP;;
PER;RSAM MAP;;
PHL;RSEA MAP;;
PLW;RPAC MAP;;
PNG;RPAC MAP;;
POL;EU MAP;;
PRI;RCAM MAP;;
PRT;EU MAP;;
PRY;RSAM MAP;;
PSE;MEME MAP;;
PYF;EU MAP;;
QAT;RGLF MAP;;
ROU;EU MAP;;
RUS;RUS MAP;;
RWA;RSAF MAP;;
SAU;SAU MAP;;
SDN;RSAF MAP;;
SEN;RSAF MAP;;
SGP;RSEA MAP;;
SLB;RPAC MAP;;
SLE;RSAF MAP;;
SLV;RCAM MAP;;
SMR;EU MAP;;
SOM;RSAF MAP;;
SRB;RCEU MAP;;
STP;RSAF MAP;;
SUR;RSAM MAP;;
SVK;EU MAP;;
SVN;EU MAP;;
SWE;EU MAP;;
SWZ;RSAF MAP;;
SXM;#N/A;;
SYC;RSAS MAP;;
SYR;MEME MAP;;
TCA;GBR MAP;;
TCD;RSAF MAP;;
TGO;RSAF MAP;;
THA;THA MAP;;
TJK;RCIS MAP;;
TKM;RCIS MAP;;
TLS;RSEA MAP;;
TON;RPAC MAP;;
TTO;RCAM MAP;;
TUN;NOAN MAP;;
TUR;TUR MAP;;
TUV;RPAC MAP;;
TWN;RSEA MAP;;
TZA;RSAF MAP;;
UGA;RSAF MAP;;
UKR;UKR MAP;;
URY;RSAM MAP;;
USA;USA MAP;;
UZB;RCIS MAP;;
VCT;RCAM MAP;;
VEN;RSAM MAP;;
VNM;VNM MAP;;
VUT;RPAC MAP;;
WSM;RPAC MAP;;
YEM;RGLF MAP;;
ZAF;ZAF MAP;;
ZMB;RSAF MAP;;
ZWE;RSAF MAP;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
